Customer_ID,City,Device_Brand,Plan,Tenure_Months,Repairs_Last_12M,Support_Contacts,Days_Since_Last_Service,Satisfaction_Score,Avg_Response_Hours,Annual_Spend,Warranty_Active,Discount_Used,Churn
C100128,Delhi,Dell,Standard,29,1,0,103,3.2,5.7,3051.0,No,Yes,1
C100129,Mumbai,Acer,Basic,9,1,4,24,3.2,23.8,3929.0,No,Yes,0
C100130,Mumbai,HP,Basic,11,2,3,1,3.2,11.2,8464.0,No,No,0
C100131,Mumbai,Lenovo,Standard,1,0,2,16,3.0,20.4,6062.0,Yes,No,1
C100132,Mumbai,Acer,Standard,36,2,4,25,2.6,12.4,,Yes,No,0
C100133,Hyderabad,Lenovo,Standard,44,6,2,18,1.9,12.3,2821.0,No,No,0
C100134,Mumbai,ASUS,Premium,40,1,2,48,3.6,33.2,3491.0,Yes,No,0
C100135,Delhi,Lenovo,Premium,19,1,1,80,3.2,3.9,3505.0,Yes,Yes,0
C100136,Bengaluru,ASUS,Premium,29,1,1,88,2.3,22.9,5150.0,No,No,0
C100137,Mumbai,Acer,Basic,47,1,2,59,3.6,35.3,4469.0,No,No,0
C100138,Hyderabad,HP,Standard,29,2,3,105,3.2,24.9,3870.0,Yes,No,0
C100139,Chennai,Acer,Premium,15,4,3,35,3.1,4.7,4108.0,No,Yes,0
C100140,Chennai,Lenovo,Basic,17,1,5,1,1.6,5.2,3291.0,No,Yes,1
C100141,Pune,Lenovo,Basic,35,0,4,74,4.1,10.5,4458.0,No,No,0
C100142,Bengaluru,Dell,Premium,22,6,1,1,2.4,19.6,6915.0,Yes,No,0
C100143,Bengaluru,Dell,Standard,41,0,4,24,3.6,20.3,1925.0,No,No,0
C100144,Chennai,Lenovo,Standard,42,2,1,60,2.8,5.3,5458.0,No,Yes,0
C100145,Pune,Dell,Premium,2,0,1,42,3.2,,7422.0,Yes,No,0
C100146,Pune,ASUS,Standard,35,2,3,40,4.5,9.9,4452.0,No,No,0
C100147,Hyderabad,ASUS,Standard,18,0,1,12,4.0,16.2,3795.0,No,No,0
C100148,Bengaluru,Acer,Basic,25,2,0,45,4.5,37.8,6556.0,Yes,No,0
C100149,Delhi,Acer,Standard,13,4,3,73,3.8,8.7,2930.0,Yes,No,0
C100150,Hyderabad,Lenovo,Basic,18,1,2,46,3.9,8.2,4757.0,Yes,No,0
C100151,Pune,Dell,Standard,16,0,0,22,1.9,6.7,2824.0,No,No,0
C100152,Bengaluru,HP,Premium,3,4,1,10,3.2,24.4,1247.0,Yes,No,1
C100153,Pune,Lenovo,Basic,38,3,1,22,3.3,17.6,4511.0,No,Yes,0
C100154,Bengaluru,ASUS,Basic,7,3,2,56,4.6,9.0,2400.0,Yes,No,0
C100155,Chennai,HP,Premium,19,1,4,55,3.0,14.4,4778.0,No,No,0
C100156,Mumbai,Lenovo,Basic,10,3,3,23,3.7,10.1,6919.0,No,No,0
C100157,Hyderabad,HP,Standard,8,2,1,1,3.7,21.0,8323.0,No,No,0
C100158,Mumbai,Dell,Standard,18,6,3,57,4.5,44.8,4978.0,No,No,1
C100159,Mumbai,Dell,Standard,45,5,0,20,3.4,23.5,6737.0,Yes,Yes,0
C100160,Delhi,HP,Basic,46,2,1,64,4.2,17.1,5558.0,Yes,Yes,0
C100161,Pune,Dell,Standard,19,2,3,24,2.0,11.4,4072.0,No,Yes,1
C100162,Mumbai,Dell,Basic,25,5,1,17,2.0,4.6,1143.0,Yes,Yes,1
C100163,Chennai,HP,Standard,48,1,2,49,1.4,25.3,7890.0,No,Yes,1
C100164,Chennai,HP,Basic,12,4,1,111,4.2,24.8,2807.0,No,No,0
C100165,Chennai,Lenovo,Standard,46,7,1,66,4.1,13.3,7427.0,No,Yes,0
C100166,Delhi,Dell,Standard,6,1,0,49,4.3,30.1,5820.0,Yes,No,0
C100167,Bengaluru,HP,Basic,11,4,1,55,2.9,18.2,2946.0,No,No,1
C100168,Bengaluru,Lenovo,Basic,17,2,0,1,3.0,25.7,5393.0,Yes,Yes,1
C100169,Chennai,ASUS,Basic,2,0,1,14,3.4,21.0,8853.0,No,No,0
C100170,Hyderabad,Acer,Basic,40,2,2,1,4.8,16.2,7718.0,No,No,0
C100171,Hyderabad,ASUS,Basic,42,0,1,93,5.0,8.5,3826.0,No,No,0
C100172,Hyderabad,HP,Premium,19,0,3,88,4.2,16.5,3447.0,No,No,1
C100173,Delhi,Lenovo,Standard,41,1,3,56,3.8,,4990.0,Yes,No,1
C100174,Delhi,Lenovo,Premium,38,3,5,49,4.7,12.9,4486.0,No,Yes,0
C100175,Delhi,ASUS,Premium,39,1,3,2,3.3,22.4,7080.0,No,No,1
C100176,Chennai,ASUS,Basic,39,3,3,39,3.1,7.2,6205.0,Yes,Yes,0
C100177,Delhi,ASUS,Standard,28,2,3,95,3.4,25.8,,No,No,0
C100178,Hyderabad,Acer,Premium,6,2,3,49,2.6,21.1,5671.0,No,Yes,0
C100179,Pune,Lenovo,Standard,45,3,1,29,3.3,6.0,4460.0,No,No,0
C100180,Mumbai,Lenovo,Standard,30,3,3,1,2.5,15.8,4871.0,No,No,0
C100181,Pune,ASUS,Standard,44,4,2,84,4.4,27.3,5273.0,Yes,Yes,0
C100182,Hyderabad,HP,Basic,47,4,2,43,4.0,5.4,7078.0,No,Yes,0
C100183,Chennai,HP,Standard,9,3,2,1,4.8,7.3,6658.0,Yes,Yes,0
C100184,Delhi,ASUS,Premium,20,2,2,19,2.0,17.3,3375.0,No,No,0
C100185,Chennai,HP,Premium,10,2,0,9,5.0,39.3,4689.0,Yes,No,0
C100186,Chennai,HP,Basic,3,1,0,41,2.1,11.3,3948.0,No,Yes,0
C100187,Hyderabad,Lenovo,Standard,47,6,3,51,,23.0,1604.0,Yes,No,1
C100188,Chennai,HP,Basic,45,2,1,31,2.9,20.6,4592.0,Yes,Yes,0
C100189,Bengaluru,ASUS,Premium,45,3,1,67,4.7,12.1,8305.0,Yes,No,0
C100190,Bengaluru,ASUS,Basic,43,0,1,47,3.7,19.6,1547.0,No,No,0
C100191,Delhi,HP,Premium,32,5,3,75,3.3,13.5,4754.0,Yes,No,0
C100192,Mumbai,Lenovo,Premium,26,1,4,35,2.8,14.4,4693.0,Yes,No,0
C100193,Mumbai,ASUS,Basic,48,2,2,130,2.3,1.4,5347.0,Yes,Yes,0
C100194,Chennai,Acer,Basic,27,1,0,29,4.5,17.8,2971.0,Yes,Yes,0
C100195,Pune,HP,Premium,31,1,1,20,4.2,27.0,2092.0,No,No,0
C100196,Hyderabad,Lenovo,Basic,11,4,1,16,4.7,18.6,2181.0,No,Yes,0
C100197,Chennai,Acer,Standard,36,2,1,39,3.9,28.9,7329.0,Yes,Yes,0
C100198,Hyderabad,Acer,Premium,40,3,2,1,1.1,23.8,2933.0,Yes,Yes,0
C100199,Chennai,Dell,Standard,33,5,3,53,2.4,17.4,3851.0,Yes,No,0
C100200,Pune,HP,Standard,24,2,0,1,3.9,11.7,8799.0,Yes,No,0
C100201,Chennai,ASUS,Standard,10,4,0,50,3.2,13.1,3405.0,Yes,No,0
C100202,Pune,HP,Basic,2,3,3,7,3.0,3.3,5451.0,Yes,No,0
C100203,Chennai,HP,Premium,31,1,2,34,2.5,15.3,6821.0,Yes,Yes,0
C100204,Delhi,HP,Basic,33,2,1,62,4.4,19.5,6730.0,Yes,No,0
C100205,Chennai,Dell,Basic,38,2,3,110,3.9,35.2,2270.0,No,No,1
C100206,Bengaluru,Dell,Basic,46,2,3,15,4.0,23.3,3445.0,Yes,Yes,0
C100207,Delhi,HP,Premium,24,1,2,41,2.9,9.4,,No,No,0
C100208,Pune,ASUS,Basic,40,1,1,25,3.7,3.6,8465.0,No,No,0
C100209,Bengaluru,Dell,Premium,35,0,2,21,2.3,15.9,3353.0,No,No,0
C100210,Delhi,HP,Standard,14,1,1,25,3.4,26.1,3862.0,Yes,No,0
C100211,Bengaluru,Dell,Premium,41,1,0,68,1.2,15.8,5597.0,No,No,0
C100212,Delhi,Lenovo,Premium,3,4,0,31,2.1,23.4,5977.0,No,No,0
C100213,Delhi,HP,Premium,29,1,0,108,3.2,16.2,6092.0,No,No,0
C100214,Chennai,Acer,Premium,46,1,3,57,5.0,25.2,3192.0,No,No,1
C100215,Delhi,Lenovo,Basic,32,3,1,17,1.9,2.0,3789.0,Yes,No,0
C100216,Bengaluru,Acer,Standard,45,3,2,35,2.4,34.0,5209.0,No,No,0
C100217,Hyderabad,Acer,Standard,3,2,3,23,3.7,6.9,7198.0,No,Yes,0
C100218,Hyderabad,Lenovo,Standard,26,2,0,67,5.0,25.9,4347.0,Yes,No,0
C100219,Chennai,ASUS,Premium,38,1,1,1,3.7,15.3,4758.0,Yes,No,0
C100220,Pune,Lenovo,Premium,31,0,4,7,4.1,16.8,2851.0,No,No,0
C100221,Hyderabad,ASUS,Standard,43,3,2,28,3.2,15.6,8340.0,Yes,No,0
C100222,Chennai,ASUS,Standard,23,0,0,64,3.0,20.6,5093.0,No,No,0
C100223,Delhi,Lenovo,Standard,33,1,2,80,3.6,22.6,6848.0,Yes,No,0
C100224,Bengaluru,Acer,Standard,21,3,1,84,2.9,28.6,4857.0,No,No,0
C100225,Delhi,HP,Basic,42,0,1,60,4.2,32.1,4962.0,Yes,Yes,0
C100226,Bengaluru,ASUS,Standard,6,0,0,43,2.1,21.3,1949.0,No,No,1
C100227,Delhi,Acer,Basic,13,2,2,67,4.3,35.1,800.0,No,No,0
C100228,Mumbai,ASUS,Basic,5,2,0,13,3.5,18.9,7179.0,No,Yes,0
C100229,Mumbai,HP,Standard,34,1,1,1,3.3,28.8,4948.0,Yes,Yes,0
C100230,Bengaluru,Acer,Standard,12,6,0,57,2.0,22.3,5192.0,Yes,No,0
C100231,Chennai,Lenovo,Premium,16,7,1,17,2.6,12.5,2427.0,Yes,No,0
C100232,Pune,Dell,Standard,41,5,3,43,4.6,19.8,3084.0,Yes,No,0
C100233,Hyderabad,Dell,Basic,18,6,3,48,3.3,23.0,6818.0,No,Yes,0
C100234,Delhi,Lenovo,Basic,7,4,2,52,3.8,17.7,8106.0,Yes,No,0
C100235,Chennai,HP,Basic,2,1,0,71,,22.1,3620.0,Yes,Yes,1
C100236,Delhi,Dell,Premium,11,2,3,68,3.5,26.7,6076.0,No,Yes,0
C100237,Mumbai,Lenovo,Basic,44,3,2,50,2.3,17.8,5161.0,Yes,No,0
C100238,Chennai,Acer,Standard,27,1,3,33,3.6,1.0,4571.0,Yes,No,0
C100239,Bengaluru,HP,Premium,48,3,2,48,3.8,34.8,8319.0,No,No,0
C100240,Mumbai,ASUS,Premium,11,1,0,28,3.8,15.0,3939.0,Yes,Yes,0
C100241,Hyderabad,Acer,Basic,17,2,1,39,2.7,9.8,7157.0,No,Yes,0
C100242,Mumbai,Lenovo,Basic,8,2,2,118,3.2,6.8,5525.0,No,No,1
C100243,Hyderabad,ASUS,Basic,20,1,1,50,4.0,14.6,4768.0,Yes,Yes,0
C100244,Mumbai,Lenovo,Basic,28,3,5,58,3.3,12.4,7407.0,No,Yes,1
C100245,Mumbai,Dell,Basic,39,7,0,25,3.2,10.6,5351.0,No,Yes,0
C100246,Hyderabad,Dell,Standard,18,0,1,74,5.0,11.2,4617.0,Yes,Yes,0
C100247,Delhi,ASUS,Premium,38,2,1,66,2.6,23.3,7421.0,No,No,0
C100248,Chennai,ASUS,Standard,31,3,4,66,4.5,38.3,7174.0,Yes,Yes,0
C100249,Delhi,Acer,Standard,15,3,0,51,2.5,26.2,7084.0,No,No,0
C100250,Hyderabad,Dell,Basic,44,2,2,74,4.1,29.2,800.0,No,No,0
C100251,Bengaluru,HP,Premium,21,0,2,81,4.1,14.2,5636.0,Yes,No,0
C100252,Chennai,Dell,Standard,8,1,1,53,3.0,19.0,5203.0,Yes,No,0
C100253,Bengaluru,Dell,Premium,47,4,5,42,2.4,22.3,4734.0,Yes,No,0
C100254,Bengaluru,HP,Premium,44,0,3,70,1.7,11.4,5959.0,No,No,1
C100255,Mumbai,Lenovo,Basic,3,1,2,20,2.9,13.7,5295.0,No,Yes,0
C100256,Hyderabad,Dell,Basic,44,1,1,25,4.0,26.5,6088.0,Yes,No,0
C100257,Delhi,ASUS,Basic,46,1,2,44,2.5,28.9,4291.0,Yes,Yes,0
C100258,Hyderabad,Lenovo,Standard,40,4,2,1,3.6,18.7,7647.0,No,No,0
C100259,Bengaluru,HP,Premium,13,1,2,68,2.2,6.0,6280.0,Yes,No,0
C100260,Mumbai,Lenovo,Basic,31,2,1,18,3.3,15.0,5831.0,Yes,Yes,0
C100261,Delhi,Acer,Standard,26,4,5,32,2.5,3.6,5738.0,Yes,Yes,1
C100262,Bengaluru,HP,Standard,30,1,2,39,3.4,18.8,6999.0,No,Yes,1
C100263,Bengaluru,Dell,Basic,30,2,0,46,3.0,20.6,6741.0,Yes,Yes,0
C100264,Pune,Dell,Basic,31,3,0,35,2.4,15.3,4586.0,No,No,0
C100265,Pune,ASUS,Standard,25,3,3,43,2.9,20.4,,No,Yes,0
C100266,Mumbai,Dell,Standard,34,2,3,43,2.7,22.2,,Yes,No,0
C100267,Chennai,Acer,Standard,26,3,1,32,2.3,20.6,8442.0,No,No,0
C100268,Chennai,HP,Basic,1,5,2,23,4.5,6.0,6886.0,Yes,Yes,0
C100269,Mumbai,Acer,Standard,2,1,4,75,3.2,15.5,3611.0,Yes,Yes,1
C100270,Mumbai,Dell,Basic,46,2,3,1,1.5,22.1,9228.0,No,No,0
C100271,Bengaluru,ASUS,Premium,44,2,0,39,2.9,,806.0,Yes,No,0
C100272,Hyderabad,Acer,Basic,29,3,4,32,4.3,15.3,6011.0,No,No,0
C100273,Hyderabad,Lenovo,Basic,9,1,1,57,2.8,23.5,3477.0,No,Yes,0
C100274,Pune,HP,Standard,38,3,0,4,4.8,26.8,8376.0,Yes,No,0
C100275,Chennai,ASUS,Standard,7,2,1,31,2.7,16.0,5280.0,No,No,0
C100276,Chennai,HP,Standard,19,2,1,42,4.0,29.5,3292.0,No,Yes,0
C100277,Chennai,Lenovo,Standard,16,1,2,75,4.4,30.0,4294.0,Yes,No,1
C100278,Delhi,HP,Premium,1,2,1,54,3.9,31.8,3444.0,No,No,0
C100279,Hyderabad,HP,Standard,39,1,0,12,2.3,22.6,4219.0,No,No,0
C100280,Hyderabad,Lenovo,Standard,25,4,0,31,2.7,41.6,4176.0,Yes,Yes,1
C100281,Bengaluru,Dell,Standard,16,1,1,70,4.6,11.8,3373.0,Yes,No,0
C100282,Chennai,Dell,Basic,25,4,2,11,2.8,39.2,5313.0,Yes,Yes,0
C100283,Delhi,HP,Standard,1,4,1,43,4.4,25.7,5543.0,Yes,No,0
C100284,Chennai,Dell,Basic,21,2,2,45,3.1,31.4,2907.0,Yes,Yes,0
C100285,Chennai,Lenovo,Standard,25,1,3,34,3.6,14.8,1649.0,No,No,0
C100286,Pune,ASUS,Basic,17,4,1,120,2.3,26.4,5391.0,No,No,0
C100287,Hyderabad,Dell,Premium,40,5,0,33,3.0,32.3,5811.0,No,No,0
C100288,Mumbai,Dell,Standard,12,3,0,58,2.7,7.1,6187.0,Yes,No,0
C100289,Mumbai,Dell,Premium,7,3,3,24,3.7,16.4,5847.0,Yes,Yes,0
C100290,Chennai,Lenovo,Standard,26,2,3,60,3.6,1.0,7788.0,Yes,Yes,0
C100291,Delhi,HP,Basic,43,2,4,69,3.9,16.2,6694.0,Yes,No,1
C100292,Bengaluru,Lenovo,Premium,19,2,1,29,3.1,9.8,9892.0,No,Yes,0
C100293,Pune,Dell,Standard,3,4,1,43,2.7,15.8,10691.0,Yes,Yes,0
C100294,Bengaluru,HP,Standard,47,2,5,20,3.7,47.2,,No,No,1
C100295,Mumbai,Lenovo,Standard,22,2,1,13,2.6,35.2,800.0,Yes,No,0
C100296,Mumbai,Lenovo,Standard,9,0,2,74,4.5,3.6,4786.0,No,Yes,0
